CODEN	ISSN	Serial Title	Publisher Name	
APOPAI	0003-6935	Applied Optics	Optical Soc of America	
AOCHEX	0268-2605	Applied Organometallic Chemistry	John Wiley & Sons Ltd	
APAMFC	0947-8396	Applied Physics A: Materials Science & Processing	Springer-Verlag GmbH & Company KG	
APBOEM	0946-2171	Applied Physics B: Lasers and Optics	Springer-Verlag GmbH & Company KG	
APPLAB	0003-6951	Applied Physics Letters	American Inst of Physics	
ARISEF	0969-8043	Applied Radiation and Isotopes	Elsevier Science Ltd	
ASPRFL	0941-0635	Applied Signal Processing	Springer-Verlag London Ltd.	
ASOEA6	0003-701X	Applied Solar Energy (English translation of Geliotekhnika)	Allerton Press Inc	
APSPA4	0003-7028	Applied Spectroscopy	Soc for Applied Spectroscopy	
APSRBB	0570-4928	Applied Spectroscopy Reviews	Marcel Dekker Inc	
APSTAG	0035-9254	Applied Statistics. Journal of the Royal Statistical Society Series C	Royal Statistical Soc	
ASMAEM	8755-0024	Applied Stochastic Models and Data Analysis	John Wiley & Sons Ltd	
ASUEE6	0964-1807	Applied Superconductivity	Elsevier Science Ltd	
ASUSEE	0169-4332	Applied Surface Science	Elsevier Science Publishers B.V.	
ATENFT	1359-4311	Applied Thermal Engineering	Elsevier Science Ltd	
ATCYAD	0305-0920	Appropriate Technology	Intermediate Technology Publications Ltd.	
APRGEA	1037-051X	APRG Research Report	Australian Road Research Board Ltd	
APRPE3	0092-4873	APWA Reporter	American Public Works Assoc	
AQUAAA	0003-7214	Aqua (Oxford)	Blackwell Sci Ltd	
AQFEDI	0356-7133	Aqua Fennica	Aqua Fennica Publishing Board	
AQEND6	0144-8609	Aquacultural Engineering	Elsevier Science Ltd	
AJSEDY	0377-9211	Arabian Journal for Science and Engineering	King Fahd Univ of Petroleum and Mining	
ASRVA4	0003-8628	Architectural Science Review	Univ of Sydney	
000308		Architecture in Climate Change - Proceedings	Int Solar Energy Soc	
AMLOEH	0933-5846	Archive for Mathematical Logic	Springer-Verlag GmbH & Company KG	
AVRMAW	0003-9527	Archive for Rational Mechanics and Analysis	Springer-Verlag GmbH & Company KG	
AAMEEA	0939-1533	Archive of Applied Mechanics	Springer-Verlag GmbH & Company KG	
AMUIEA	1042-1467	Archives and Museum Informatics	Kluwer Academic Publishers	
ASGVAH	0252-9289	Archives des Sciences et Compte Rendu Seances de la Societe	Soc de Physique et d'Histoire Naturelle de Geneve	
ABBIA4	0003-9861	Archives of Biochemistry and Biophysics	Academic Press Inc	
ACIEE4	1230-2945	Archives of Civil Engineering	Polish Academy of Sciences	
AECTCV	0090-4341	Archives of Environmental Contamination and Toxicology	Springer-Verlag New York Inc.	
ARMEER	0860-7052	Archives of Metallurgy	Polish Acad of Sciences	
ASRREU	0890-3069	Arid Soil Research and Rehabilitation	Taylor & Francis Ltd	
AFSOD2	0095-327X	Armed Forces and Society	Trans Publ Trans Period Consortium	
AFJIE8	0196-3597	Armed Forces Journal International	Armed Forces J Int Inc	
ABSBE4	1073-1199	"Artificial Cells, Blood Substitutes, and Immobilization Biotechnology"	Marcel Dekker Inc	
AINTBB	0004-3702	Artificial Intelligence	Elsevier Science Publishers B.V.	
AINLEO	0924-8463	Artificial Intelligence and Law	Kluwer Academic Publishers	
AIEMEG	0890-0604	"Artificial Intelligence for Engineering Design, Analysis and Manufacturing:   AIEDAM"	Cambridge Univ Press	
AIENEJ	0954-1810	Artificial Intelligence in Engineering	Elsevier Science Ltd	
AIMEEW	0933-3657	Artificial Intelligence in Medicine	Elsevier Science B.V.	
AIRVE6	0269-2821	Artificial Intelligence Review	Kluwer Academic Publishers	
ASMOEU		ASAE Monograph	ASAE	
ASATEJ	1058-2916	ASAIO Journal	Lippincott-Raven Publ	
002714		ASCE Annual Convention on Innovative Civil Engineering for Sustainable   Development	ASCE	
002713		ASCE Construction Congress Proceedings	ASCE	
002193		ASCE Handbook	ASCE	
002143		ASCE Special Publication	ASCE	
002393		"ASCE Specialty Conference, Proceedings"	ASCE	
003182		ASCE Wetlands Engineering River Restoration Conference Proceedings	ASME	
ATEQE3	1015-5473	ASCOM Technical Magazine	Ascom Hasler Ltd	
ACOPDW	0190-1052	ASEE Annual Conference Proceedings	ASEE - American Society for Engineering Education	
APRIFH	1056-8077	ASEE PRISM	ASEE - American Society for Engineering Education	
ASGUFJ	1049-894X	ASHRAE Guideline	ASHRAE	
AHREFH	1041-2344	ASHRAE Handbook	ASHRAE	
ASHRAA	0001-2491	ASHRAE Journal	ASHRAE	
ASSTF8	1041-2336	ASHRAE Standard	ASHRAE	
ASHTAG	0001-2505	ASHRAE Transactions	ASHRAE	
AENGEF		Asia Engineer	Henderson & Associates Ltd.	
002116	1320-9787	Asia Pacific Papermaker	Martin Bayliss Marketing Pty Ltd.	
003001	0285-726X	"Asia Pulp & Paper, Technology Markets"	Tec Times Co Ltd	
APJRE3	0217-5959	Asia-Pacific Journal of Operational Research	Assoc Asian-Pacific Oper Res Soc	
002808		"Asia-Pacific Microwave Conference Proceedings, APMC"	IEEE	
001939	0126-6403	Asian Defense Journal	Syed Hussain Publ (Sdn) Bhd	
ASENEL	0116-2993	Asian Environment	Ear Quad	
ASLPAO	0001-253X	Aslib Proceedings	Aslib	
ABPVAB	0517-5321	ASME Boiler and Pressure Vessel Code	ASME	
85PIAS		ASME Database Symposium	ASME	
002578		"ASME International Mechanical Engineering Congress and Exposition,   Proceedings"	ASME	
002297		ASME Nuclear Components Code	ASME	
STDSAS		ASME Standard	ASME	
002775		ASME-ASCE-SES Joint Summer Meeting	ASCE	
ASPTBN	0004-4954	Asphalt	Asphalt Inst	
APATDV	0270-2932	Asphalt Paving Technology: Association of Asphalt Paving   Technologists-Proceedings of the Technical Sessions	Assoc of Asphalt Paving Technologists	
ASMYEQ	1050-8171	Assembly	Cahners Bus Inf	
ASAUDL	0144-5154	Assembly Automation	MCB Univ Press Ltd	
ASTEF2	1040-0435	Assistive Technology	RESNA Press	
ASTTA8	1040-3094	ASTM Special Technical Publication	ASTM	
ASTRD5	0091-6358	Astronomy	Kalmbach Publishing Co	
AAEJAF	0004-6361	Astronomy and Astrophysics	Springer-Verlag GmbH & Company KG	
AASREB	0935-4956	Astronomy and Astrophysics Review	Springer-Verlag GmbH & Company KG	
AAESB9	0365-0138	Astronomy and Astrophysics Supplement Series	Editions de Physique	
ASJOAB	0004-637X	Astrophysical Journal	University of Chicago Press	
APSSBE	0004-640X	Astrophysics and Space Science	Kluwer Academic Publishers	
ASSLAD	0067-0057	Astrophysics and Space Science Library	Kluwer Academic Publishers	
ASANEZ	0921-7134	Asymptotic Analysis	IOS Press	
002118		"Asynchronous Design Methodologies, Working Conference Proceedings"	IEEE	
002465		"AT: Advanced Technologies Intelligent Vision, Proceedings"	IEEE	
002976	0997-7554	ATIP. Association Technique de L'Industrie Papetiere	Assoc Tech l'Industrie Papet	
ATOCDA	0705-5900	Atmosphere - Ocean	Can Meteorol and Oceanogr Soc	
AOCOEK	0235-6880	Atmospheric and Oceanic Optics(English Edition of the Journal Optika   Atmosfery i Okeana)	Inst of Atmospheric Optics	
ATENBP	1352-2310	Atmospheric Environment	Elsevier Science Ltd	
ATREEW	0169-8095	Atmospheric Research	Elsevier Science Publishers B.V.	
AENYEZ	1063-4258	Atomic Energy	Plenum Publ Corp	
AECRAN	0067-0367	"Atomic Energy of Canada Limited, AECL (Report)"	AECL	
ASPND7	0195-5373	Atomic Spectroscopy	Atomic Spectroscopy	
ATSPE2	1044-5110	Atomization and Sprays: Journal of the International Institutions for Liquid   Atomization and Spray Systems	Begell House Inc Publ	
AENGAB	0004-7163	Atomnaya Energiya	Ministry of the Russian Federation on Atomic Energy	
AANNE8	1120-6365	"ATTI Della Accademia Nazionale Dei Lincei Classe Di Scienze Fisiche,   Matematiche E Naturali, Memorie Lincee Scienze Fisiche E Naturali"	Accademia Nazionale dei Lincei	
ANLNEL	1120-6349	ATTI Della Accademia Nazionale Dei Lincei Rendiconti Lincei Scienze Fisiche E   Naturali	Accademia Nazionale dei Lincei	
ADAAER	1120-6330	"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche,   Matematiche e Naturali, Rendiconti Lincei Matematica E Applicazioni"	Accademia Nazionale dei Lincei	
AUTZA6	0001-2785	ATZ Automobiltechnische Zeitschrift	Friedrich Vieweg & Sohn Verlagsgesellschaft mbH	
AUFTAK	1443-9302	Aufbereitungs-Technik/Mineral Processing	AT Verlag fuer Aufbereitung GmbH	
002102		AusIMM Annual Conference - Technical Proceedings	Australasian Inst of Mining & Metallurgy	
AIBUEP	1034-6775	AusIMM Bulletin	Australasian Inst of Mining & Metallurgy	
85MPAY		AusIMM Extractive Metallurgy Conference	Australasian Inst of Mining & Metallurgy	
AIPREI	1034-6783	AusIMM Proceedings	Australasian Inst of Mining & Metallurgy	
002738		Australasian Institute of Mining and Metallurgy Publication Series	Australasian Inst of Mining & Metallurgy	
AUPMDI	0158-9938	Australasian Physical & Engineering Sciences in Medicine	Australasian Coll of Physical Scientists and Engineers in Medicine	
AUTEDE	0725-086X	Australasian Textiles	Australasian Text Publ	
ANZPET	1036-3831	Australian and New Zealand Physicist	Australian Inst Phys	
ACMJB2	0004-8917	Australian Computer Journal	Australian Computer Soc	
ACSCDD	0157-3055	Australian Computer Science Communications	James Cook Univer	
AUEEB5	0004-9042	Australian Electronics Engineering	Reed Bus Inf	
AUFOA5	0004-9158	Australian Forestry	Inst Foresters Aust	
AJAEA9	0004-9409	Australian Journal of Agricultural Research	CSIRO Publications	
AJCHAS	0004-9425	Australian Journal of Chemistry	CSIRO	
AJESE7	0812-0099	Australian Journal of Earth Sciences	Blackwell Scientific Publications (Australia) Pty. Ltd.	
AJECDQ	0307-692X	Australian Journal of Ecology	Blackwell Scientific Publications (Australia) Pty. Ltd.	
AJICA9	0045-0626	Australian Journal of Instrumentation and Control	IICA	
AUJPAS	0004-9506	Australian Journal of Physics	CSIRO	
AJPPCH	0310-7841	Australian Journal of Plant Physiology	CSIRO Publications	
ASORAB	0004-9573	Australian Journal of Soil Research	CSIRO	
002232	0045-0685	Australian Mathematics Teacher	Australian Association of Mathematics Teachers	
AUMNA3	0004-976X	Australian Mining	Reed Bus Inf	
ARBSBB	0572-144X	"Australian Road Research Board, Special Report (ARRB SP)"	Australian Road Research Board Ltd	
ASOEEA	0928-8910	Automated Software Engineering	Kluwer Academic Publishers	
ACCSCE	0146-4116	Automatic Control and Computer Sciences (English translation of Avtomatika i   Vychislitel'naya Tekhnika)	Allerton Press Inc	
AIDNEE	0890-9768	Automatic I.D. News	"Advanstar Communications, Inc"	
ATCAA9	0005-1098	Automatica	Elsevier Science Ltd	
AURCAT	0005-1179	Automation and Remote Control (English translation of Avtomatika i   Telemekhanika)	Plenum Publ Corp	
AUCOES	0926-5805	Automation in Construction	Elsevier Science Publishers B.V.	
ARTPER	0178-2320	Automatisierungstechnische Praxis: ATP	R. Oldenbourg Verlag GmbH	
AUMDC9	0095-0963	Automedica	Gordon & Breach Science Publ Inc	
EUENDA	0307-6490	Automotive Engineer (London)	Prof Eng Publ Ltd	
AUEGBB	0098-2571	"Automotive Engineering (Warrendale, Pennsylvania)"	SAE	
AUFIFQ		Automotive Finishing	Nem Chand & Bros	
AUINAH	0273-656X	Automotive Industries AI	Cahners Bus Inf	
003189	1387-2532	Autonomous Agents and Multi-Agent Systems	Kluwer Academic Publishers	
AUROF2	0929-5593	Autonomous Robots	Kluwer Academic Publishers	
AUPRDX	1080-7725	AUTOTESTCON (Proceedings)	IEEE	
AWSTAV	0005-2175	Aviation Week and Space Technology (New York)	"McGraw-Hill, Inc."	
003000	0170-4060	AVR. Allgemeiner Vliesstoff-Report	DPW-Verlagsgesellschaft Gmbh	
AVSVAU	0005-111X	Avtomaticheskaya Svarka	Akademiya Nauk Ukrainskoi SSR	
AVTEAI		Avtomatika i Telemekhanika	Mezhdunarodnaya Kniga	
AVYTAK	0132-4160	Avtomatika i Vychislitel'naya Tekhnika	Mezhdunarodnaya Kniga	
500101	0869-4931	Avtomatizatsiya i Sovremennye Tekhnologii	Mezhdunarodnaya Kniga	
AVMEBI	0320-7102	Avtometriya	Mezhdunarodnaya Kniga	
AVPRA3	0005-2337	Avtomobil'naya Promyshlennost	Mezhdunarodnaya Kniga	
AABRES	0932-3708	AWT Abwassertechnik - Abfalltechnik + Recycling	Bauverlag GmbH	
BBBMBS	0005-2736	B B A - Biomembranes	Elsevier Science B.V.	
BAGUE5	1001-5868	Bandaoti Guangdian/Semiconductor Optoelectronics	China Natl Publ Ind Trading Corp	
BAQIEJ	1001-8352	Baopo Qicai/Explosive Materials	Nanjing Univ Sci Technol	
BAYCE7	1001-1455	Baozha Yu Chongji Bianjibu/Expolosion and Shock Waves	Explosion and Shock Waves	
BSNREL	0950-091X	Basin Research	Blackwell Sci Ltd	
BAUTE4	0932-8351	Bautechnik	Ernst & Sohn	
BWTSAA	0341-3810	Bauwirtschaft - BW	Bauverlag GmbH	
BEITD5	0144-929X	Behaviour & Information Technology	Taylor & Francis Ltd	
BJDXES	1000-1506	Beifang Jiaotong Daxue Xuebao/Journal of Northern Jiaotong University	J Nort Jiaotong Univ	
PCTHAP	0479-8023	Beijing Daxue Xuebao Ziran Kexue Ban/Acta Scientiarum uaturalium   Universitatis Pekinensis	Peking Univ	
BHHDE8	1001-5965	Beijing Hangkong Hangtian Daxue Xuebao/Journal of Beijing University of   Aeronautics and Astronautics	Beijing University of Aeronautics and Astronautics (BUAA)	
BHDKFA	1007-2640	Beijing Huagong Daxue Xuebao(Ziran Kexueban)/Journal of Beijing University of   Chemical Technology	Beijing Institute of Chemical Technology	
BKDXEZ	1001-053X	Beijing Keji Daxue Xuebao/Journal of University of Science and Technology   Beijing	University of Science and Technology Beijing	
BLDXEB	1000-1522	Beijing Linye Daxue Xuebao/Journal of Beijing Forestry University	Beijing Forest Univ	
BSYGFA	1002-3208	Beijing Shengwu Yixue Gongcheng/Beijing Biomedical Engineering	Beijing Inst Heart Lung Blood Vessel Dis	
BYXBEV	1007-5321	Beijing Youdian Xueyuan Xuebao/Journal of Beijing University of Posts And   Telecommunications	Beijing Univ of Posts and Telecommun	
BLTJFD	1089-7089	Bell Labs Technical Journal	Lucent Technologies	
BBPCAX	0005-9021	Berichte der Bunsengesellschaft/Physical Chemistry Chemical Physics	Wiley-VCH Verlag GmbH	
BEPRF2	1350-9845	Best Practice	IFS Int Ltd.	
BTZBA2	0005-9889	Beton i Zhelezobeton	Mezhdunarodnaya Kniga	
BESTAI	0005-9900	Beton- und Stahlbetonbau	Ernst & Sohn	
BWFTAB	0373-4331	Betonwerk und Fertigteil-Technik/Concrete Precasting Plant and Technology	Bauverlag GmbH	
BEROAW	0006-0208	Better Roads	Better Roads	
BZTPAM	0409-2961	Bezopastnost Truda v Promyshlennosti	Mezhdunarodnaya Kniga	
BIANFB	1001-8425	Bianyaqi/Transformer	Shengyang Transformer Institute	
001035		Biennial European Conference on Fracture	EMAS	
002425		Biennial IEEE International Nonvolatile Memory Technology Conference	IEEE	
002105	0749-6877	Biennial University/Government/Industry Microelectronics Symposium -   Proceedings	IEEE	
BIXUD9	1000-1093	Binggong Xuebao/Acta Armamentarii	China Ordnance Soc	
BOBOEQ	1024-2422	Biocatalysis and Biotransformation	Gordon & Breach Science Publ Inc	
		Biochemical Engineering Journal	Elsevier Science	
BIJOAK	0264-6021	Biochemical Journal	Portland Press Ltd.	
BICHAW	0006-2960	Biochemistry	ACS	
BCBIEQ	0829-8211	Biochemistry and Cell Biology	NRC Can	
BISCFY	1342-4815	Biocontrol Science	Soc Antibacterial Antifungal Agents	
BCYCDK	0276-5055	BioCycle	JG Press Inc	
BIODEG	0923-9820	Biodegradation	Kluwer Academic Publishers	
BEBEBP	0302-4598	Bioelectrochemistry and Bioenergetics	Elsevier Sequoia SA	
BENYDB		"Bioengineering, Proceedings of the Northeast Conference"	IEEE	
BIOHAO	0320-9725	Biokhimiya/Biochemistry	East View Publ Inc	
BICYAF	0340-1200	Biological Cybernetics	Springer-Verlag GmbH & Company KG	
BMSBEO	0961-9534	Biomass and Bioenergy	Elsevier Science Ltd	
BIMADU	0142-9612	Biomaterials	Elsevier Science Ltd	
BICHE2	0269-3879	Biomedical Chromatography	John Wiley & Sons Ltd	
001246	1016-2356	"Biomedical Engineering Applications, Basis Communications"	"Center for Biomedical Engineering, NTU College of Medicine"	
BITYE2	0899-8205	Biomedical Instrumentation & Technology	Assoc Adv Med Instrumentation	
BMSIA7	0067-8856	Biomedical Sciences Instrumentation	Instrument Society of America	
BMZTA7	0013-5585	Biomedizinische Technik/Biomedical Engineering	Fachverlag Schiele Schoen GmbH	
BIOMB6	0006-341X	Biometrics	Int Biom Soc	
BIINFH	1081-8693	Biophotonics International	Laurin Publishing Co Inc	
BIOJAU	0006-3495	Biophysical Journal	Biophys Soc	
BIPMAA	0006-3525	Biopolymers	John Wiley & Sons Inc	
BIENEU	0178-515X	Bioprocess Engineering	Springer-Verlag GmbH & Company KG	
BPTEEP	0888-7470	Bioprocess Technology	Marcel Dekker Inc	
BIRTEB	0960-8524	Bioresource Technology	Elsevier Science Ltd	
BBIOE4	0956-5663	Biosensors & Bioelectronics	Elsevier Science Ltd	
BISPE4	0923-179X	Bioseparation	Kluwer Academic Publishers	
BTNQDO	0736-6205	BioTechniques	Eaton Publishing Co.	
BIADDD	0734-9750	Biotechnology Advances	Elsevier Science Ltd	
BABIEC	0885-4513	Biotechnology and Applied Biochemistry	Portland Press Ltd.	
BIBIAU	0006-3592	Biotechnology and Bioengineering	John Wiley & Sons Inc	
BGERES	0264-8725	Biotechnology and Genetic Engineering Reviews	Intercept Ltd	
BIPRET	8756-7938	Biotechnology Progress	AIChE	
BITUAK	0006-3916	Bitumen	Arbeitsgemeinschaft der Bitumen-Industrie e.V.	
002683	0376-723X	Boletin Tecnico/Technical Bulletin	Univ Central Venezuela	
BECOFU	1353-825X	Boundary Elements Communications	Computational Mechanics Publ	
BLMEBK	0006-8314	Boundary-Layer Meteorology	Kluwer Academic Publishers	
002957	1084-5291	Boxboard Containers International	Primedia Intertec	
BBRRDN	0110-439X	"BRANZ, Building Research Association of New Zealand Research Report R"	Building Research Assoc of New Zealand	
BRAUFR	1431-2719	Braunkohle/Surface Mining	Trans Tech Publ	
002351	0104-6632	Brazilian Journal of Chemical Engineering	ABEQ	
BREDET	0144-8536	BRE Digest	Build Res Establ	
BRWKAY	0006-9612	Brennstoff-Waerme-Kraft	Springer-VDI-Verlag GmbH & Co. KG	
BYGSAR	0068-1016	Brigham Young University Geology Studies	Brigham Young Univ Press Publ	
